,tabac,gum,year,num
15353,7.0,12.0,2000,10.0
15367,4.0,20.0,2000,52.0
15398,4.0,5.0,2000,2.0
15414,14.0,12.0,2000,10.0
15450,1.0,5.0,2000,11.0
15451,7.0,6.0,2000,1.0
15455,21.0,10.0,2000,6.0
15459,17.0,4.0,2000,10.0
15471,3.0,1.0,2000,3.0
15478,7.0,1.0,2000,3.0
15486,10.0,10.0,2000,51.0
15488,4.0,3.0,2000,2.0
15507,7.0,2.0,2000,1.0
15509,4.0,4.0,2000,4.0
15520,2.0,2.0,2000,7.0
15530,7.0,5.0,2000,8.0
15551,7.0,6.0,2000,52.0
15556,1.0,2.0,2000,2.0
15574,7.0,2.0,2000,7.0
15588,6.0,5.0,2000,1.0
15593,3.0,10.0,2000,6.0
15594,2.0,2.0,2000,7.0
15608,7.0,10.0,2000,4.0
15613,7.0,10.0,2000,51.0
15634,7.0,7.0,2000,2.0
15655,7.0,7.0,2000,51.0
15659,7.0,1.0,2000,5.0
15679,7.0,3.0,2000,2.0
15697,14.0,2.0,2000,4.0
15714,7.0,3.0,2000,10.0
15728,1.0,14.0,2000,6.0
15752,3.0,2.0,2000,10.0
15778,3.0,10.0,2000,6.0
15796,10.0,2.0,2000,5.0
15832,4.0,1.0,2000,1.0
15841,7.0,6.0,2000,12.0
15847,4.0,1.0,2000,6.0
15963,2.0,4.0,2000,9.0
16024,15.0,10.0,2000,5.0
16049,20.0,6.0,2000,9.0
16051,5.0,1.0,2000,11.0
16095,5.0,7.0,2000,51.0
16136,2.0,2.0,2000,7.0
16140,7.0,8.0,2000,2.0
16151,2.0,2.0,2000,1.0
16154,7.0,4.0,2000,4.0
16206,10.0,10.0,2000,10.0
16212,10.0,10.0,2000,5.0
16213,7.0,10.0,2000,6.0
16236,5.0,4.0,2000,17.0
16265,10.0,5.0,2000,9.0
16301,7.0,4.0,2000,11.0
16466,5.0,10.0,2000,9.0
16467,17.0,12.0,2000,10.0
16468,7.0,4.0,2000,51.0
16487,7.0,2.0,2000,3.0
16505,1.0,12.0,2000,5.0
16515,5.0,3.0,2000,4.0
16556,14.0,1.0,2000,53.0
16561,7.0,5.0,2000,5.0
16572,7.0,4.0,2000,4.0
16597,7.0,5.0,2000,4.0
16652,7.0,1.0,2000,9.0
16678,7.0,10.0,2000,2.0
16687,7.0,7.0,2000,2.0
16689,4.0,7.0,2000,6.0
16698,14.0,9.0,2000,5.0
16704,7.0,1.0,2000,4.0
16709,1.0,2.0,2000,10.0
16716,1.0,5.0,2000,4.0
16768,14.0,12.0,2000,51.0
16788,7.0,1.0,2000,13.0
16809,3.0,3.0,2000,2.0
16859,3.0,18.0,2000,13.0
16864,7.0,12.0,2000,55.0
16878,3.0,2.0,2000,53.0
16921,1.0,28.0,2000,5.0
16926,7.0,1.0,2000,11.0
16929,7.0,20.0,2000,14.0
16965,20.0,14.0,2000,51.0
16983,10.0,10.0,2000,4.0
16986,14.0,1.0,2000,7.0
17020,9.0,3.0,2000,1.0
17025,2.0,2.0,2000,7.0
17027,8.0,10.0,2000,9.0
17030,4.0,2.0,2000,12.0
17040,6.0,42.0,2000,8.0
17041,7.0,2.0,2000,9.0
17044,1.0,20.0,2000,51.0
17045,10.0,10.0,2000,52.0
17048,3.0,20.0,2000,3.0
17056,7.0,3.0,2000,1.0
17083,7.0,1.0,2000,52.0
17084,7.0,3.0,2000,1.0
17152,3.0,6.0,2000,13.0
17184,7.0,2.0,2000,9.0
17199,4.0,2.0,2000,12.0
17215,10.0,7.0,2000,2.0
17228,7.0,3.0,2000,10.0
17239,7.0,4.0,2000,4.0
17243,2.0,2.0,2000,11.0
17247,4.0,10.0,2000,1.0
17260,1.0,12.0,2000,15.0
17282,10.0,10.0,2000,4.0
17349,20.0,10.0,2000,1.0
17351,15.0,10.0,2000,3.0
17355,20.0,10.0,2000,8.0
17358,4.0,10.0,2000,1.0
17361,3.0,10.0,2000,4.0
17362,6.0,5.0,2000,5.0
17432,21.0,7.0,2000,5.0
17439,14.0,5.0,2000,1.0
17466,7.0,3.0,2000,4.0
17475,7.0,1.0,2000,5.0
17488,7.0,1.0,2000,1.0
17499,7.0,10.0,2000,2.0
17501,4.0,2.0,2000,5.0
17506,14.0,1.0,2000,11.0
17507,3.0,4.0,2000,51.0
17517,2.0,2.0,2000,3.0
17528,1.0,2.0,2000,9.0
17533,3.0,1.0,2000,5.0
17534,2.0,1.0,2000,9.0
17536,10.0,1.0,2000,1.0
17537,21.0,1.0,2000,2.0
17550,7.0,1.0,2000,1.0
17553,14.0,2.0,2000,7.0
17555,50.0,1.0,2000,9.0
17577,7.0,14.0,2000,4.0
17590,7.0,3.0,2000,5.0
17597,1.0,10.0,2000,12.0
17614,7.0,24.0,2000,4.0
17619,10.0,15.0,2000,2.0
17630,3.0,1.0,2000,3.0
17631,10.0,1.0,2000,4.0
17662,7.0,5.0,2000,8.0
17709,10.0,2.0,2000,1.0
17723,5.0,2.0,2000,53.0
17737,10.0,2.0,2000,10.0
17764,6.0,5.0,2000,54.0
17769,8.0,70.0,2000,5.0
17770,7.0,2.0,2000,6.0
17784,40.0,10.0,2000,9.0
17825,5.0,4.0,2000,5.0
17840,14.0,10.0,2000,11.0
17858,4.0,3.0,2000,13.0
17871,3.0,3.0,2000,3.0
17874,5.0,2.0,2000,6.0
17882,7.0,2.0,2000,5.0
17887,3.0,1.0,2000,2.0
17906,10.0,2.0,2000,9.0
17923,2.0,3.0,2000,9.0
17936,1.0,3.0,2000,8.0
17951,7.0,5.0,2000,2.0
17952,10.0,12.0,2000,3.0
17970,3.0,3.0,2000,3.0
17977,3.0,10.0,2000,13.0
17981,14.0,2.0,2000,5.0
17987,3.0,3.0,2000,11.0
17988,10.0,5.0,2000,12.0
17999,10.0,20.0,2000,52.0
18024,10.0,1.0,2000,6.0
18030,1.0,1.0,2000,12.0
18035,10.0,1.0,2000,4.0
18036,22.0,5.0,2000,5.0
18052,10.0,5.0,2000,9.0
18056,7.0,2.0,2000,3.0
18061,6.0,10.0,2000,9.0
18084,7.0,10.0,2000,10.0
18090,14.0,2.0,2000,5.0
18092,7.0,3.0,2000,7.0
18098,4.0,4.0,2000,52.0
18101,10.0,1.0,2000,2.0
18137,1.0,3.0,2000,1.0
18142,7.0,3.0,2000,11.0
18146,7.0,5.0,2000,3.0
18155,5.0,2.0,2000,52.0
18171,14.0,3.0,2000,9.0
18173,7.0,1.0,2000,11.0
18180,15.0,10.0,2000,20.0
18195,4.0,10.0,2000,51.0
18201,5.0,1.0,2000,6.0
18225,10.0,4.0,2000,53.0
18240,10.0,14.0,2000,7.0
18243,10.0,1.0,2000,51.0
18256,2.0,3.0,2000,6.0
18273,7.0,3.0,2000,15.0
18289,4.0,2.0,2000,3.0
18338,5.0,2.0,2000,52.0
18348,10.0,10.0,2000,52.0
18470,20.0,10.0,2000,3.0
18481,10.0,20.0,2000,14.0
18501,7.0,1.0,2000,34.0
18528,7.0,2.0,2000,63.0
18530,5.0,10.0,2000,66.0
18573,1.0,3.0,2000,3.0
18576,20.0,2.0,2000,6.0
18578,10.0,1.0,2000,8.0
18581,7.0,4.0,2000,51.0
18600,7.0,3.0,2000,54.0
18614,1.0,1.0,2000,2.0
18616,7.0,28.0,2000,4.0
18631,7.0,24.0,2000,5.0
18640,14.0,3.0,2000,15.0
18674,1.0,5.0,2000,10.0
18682,20.0,1.0,2000,8.0
18687,3.0,1.0,2000,3.0
18704,6.0,10.0,2000,9.0
18710,6.0,2.0,2000,2.0
18725,5.0,1.0,2000,6.0
18787,14.0,15.0,2000,11.0
18788,6.0,10.0,2000,1.0
18838,3.0,6.0,2000,10.0
18856,15.0,14.0,2000,11.0
18873,2.0,6.0,2000,5.0
18882,7.0,14.0,2000,54.0
18921,3.0,2.0,2000,7.0
18927,20.0,7.0,2000,4.0
18937,5.0,2.0,2000,12.0
18953,11.0,1.0,2000,4.0
18957,10.0,40.0,2000,3.0
19006,7.0,10.0,2000,3.0
19024,10.0,1.0,2000,9.0
19027,7.0,12.0,2000,14.0
19041,4.0,2.0,2000,16.0
19048,18.0,7.0,2000,7.0
19052,13.0,1.0,2000,6.0
19062,10.0,5.0,2000,14.0
19067,14.0,10.0,2000,8.0
19070,4.0,10.0,2000,51.0
19071,14.0,3.0,2000,5.0
19073,2.0,3.0,2000,10.0
19080,7.0,6.0,2000,12.0
19082,2.0,1.0,2000,7.0
19114,5.0,10.0,2000,6.0
19115,7.0,1.0,2000,8.0
19118,14.0,2.0,2000,2.0
19125,7.0,4.0,2000,9.0
19160,10.0,1.0,2000,51.0
19167,1.0,1.0,2000,7.0
19171,10.0,2.0,2000,13.0
19176,10.0,5.0,2000,3.0
19196,1.0,1.0,2000,3.0
19317,20.0,5.0,2000,11.0
19383,3.0,2.0,2001,10.0
19403,5.0,1.0,2001,2.0
19409,20.0,10.0,2001,8.0
19465,14.0,10.0,2001,11.0
19471,7.0,24.0,2001,7.0
19473,17.0,24.0,2001,10.0
19484,7.0,2.0,2001,6.0
19499,10.0,11.0,2001,4.0
19509,10.0,20.0,2001,4.0
19522,7.0,1.0,2001,11.0
19536,6.0,10.0,2001,10.0
19547,20.0,10.0,2001,52.0
19559,4.0,12.0,2001,51.0
19563,6.0,10.0,2001,4.0
19568,15.0,10.0,2001,1.0
19587,5.0,4.0,2001,1.0
19593,3.0,50.0,2001,7.0
19606,5.0,2.0,2001,2.0
19608,10.0,1.0,2001,4.0
